x,y
-9.141707,4.737298
1.2510072,10.916683
1.912468,18.48673
-6.554761,-12.985365
-9.337439,-6.0043793
6.1059594,-9.33714
-8.137364,8.720056
-10.902227,9.17063
-16.014462,1.1059791
-0.23326804,10.53639
33.472713,22.762526
3.4145057,-9.782475
2.3071418,10.633032
-0.4784117,-10.500544
5.7515664,23.488022
5.014541,19.019958
0.53556573,14.328419
-10.121952,4.2099
12.390453,-3.4172802
-14.9421625,2.3210037
-11.312459,-1.0231547
-10.822718,7.6093216
5.7002254,-8.61311
4.624009,19.701887
-1.4881206,11.300456
12.499697,-4.2629786
14.540045,-7.6594214
9.072563,6.833322
-8.5260515,4.3806987
5.983683,-6.941473
-10.984077,-4.546974
2.352933,-10.876819
-10.189292,10.11797
-4.720682,10.081261
-20.755241,6.377923
-13.384607,8.312982
6.3778605,-11.97803
4.8073406,17.824694
-0.8429245,15.188555
2.6218612,-7.775351
4.2697587,-9.110687
5.8895316,-5.2373366
4.3606143,3.9801123
-6.3473945,-22.891989
5.027095,8.866907
0.1837351,-13.027419
3.2091033,-12.378553
23.450003,3.188072
-13.014862,1.0222635
1.1782507,-11.846231
8.753683,-2.8619297
-2.6423666,-5.1875324
1.2492399,15.911234
-6.2671065,-15.080226
-8.457785,-17.818892
9.031168,-4.789445
0.21525113,6.8008385
1.2988229,6.4773726
-0.44241259,-9.773743
11.116609,-1.0770677
-0.35992226,-5.410204
2.8477755,-15.3628025
6.895592,-6.330554
13.934041,-4.5538287
-12.759833,7.2605677
0.6601786,8.961126
2.1185288,-12.66529
-4.468197,-15.219017
-16.571548,5.7624884
0.6347982,17.789867
-3.2397718,4.734491
-11.00772,0.4856229
-10.738823,-20.518257
-8.628472,5.9970093
3.9352694,16.54147
-11.886346,6.4991465
6.6546044,-5.163128
-2.5907946,-14.78173
3.034156,-5.54818
14.147676,-6.3200293
5.246158,-0.37053362
2.446353,11.78726
4.5341697,-5.7940307
17.035183,-7.6397963
-11.799479,8.554047
0.5380481,-9.921007
5.412864,-0.8117403
7.2928953,4.024697
-6.6537924,9.872333
-7.581365,-19.339464
1.8076953,15.713305
-4.572468,3.2849975
13.302405,-5.670366
-5.459545,-13.502924
6.30341,21.92382
5.873565,-9.708313
-15.85087,-0.60262346
5.537847,-9.744237
2.584375,-1.6721827
23.317844,-0.18212076
-15.458154,2.4247143
6.4885893,-11.373297
-4.176733,7.8887286
-19.386402,-3.3397958
-6.3224316,12.881377
-0.3506407,-8.2923565
-0.8501392,-14.211123
3.7583208,-3.0705516
2.6642523,11.406004
-5.6764636,7.5510435
-4.169379,12.107703
-1.2335865,14.442673
4.6833363,12.2521
